Employee_ID,Employee_Name,College_Degree,Department,Job_Role,DMC_Campus,Email,Phone_Number,Performance_Rating
628496,valerie rivera,Computer Science,HR,product manager,Santo Tomas,Srubio@Example.Net,9577284792,4
190029, Donna Thompson ,Education,Admin,Research Assistant,Porac,CabreRAkimBeRlY@exAmple.Com,9399875611,5
825363,Ruth Reilly,Education,Marketing, Product Manager ,Porac,Joshuaprice@Example.Net,9799235881,1
281946,LInda MuNOZ,Computer Science,Operations,hR spEcIALIsT,Santo Tomas,OalLEN@EXamPlE.oRG,9236974061,3
534126,Daniel Graham  ,Accountancy,Operations,teacher,Main,PcoPeLAnd@ExAMpLe.nEt,9520823613,3
736420,CURTIS BROWN,Psychology,Finance,research assistant,Main,gregggonzales@example.com  ,9839621124,4
537578,Kelly Bartlett  ,Accountancy,Tech,SYSTEM ADMINISTRATOR,Main,gAbRiellEPErKINS@ExAmPle.Net,9760063072,5
662294,Matthew Adkins,Education,HR,SYSTEM ADMINISTRATOR,Main,SMITHJENNIFER@EXAMPLE.COM,9543319438,1
753905,JasMInE JOhnSon,Education,HR,hr specialist,Main,PATRICKTORRES@EXAMPLE.COM,9721297176,3
994909,Daniel Thomas,Political Science,Operations,maRketiNG aSsocIaTE,Porac,Srichardson@Example.Org,9914389973,3
732975,Dakota Evans  ,Information Technology,R&D,finance officer,Lubao,kjOhnSON@exAmPle.ORg,9137434092,4
209205,Samantha James  ,Human Resource Management,Marketing,DATA ANALYST,Main,Freemanrenee@Example.Org,9233443396,3
299643,DR. JOHN WILLIAMS DVM,Accountancy,Finance,Software Engineer,Main,NICOLE94@EXAMPLE.COM,9264732735,2
710514,Tracy Young,Engineering,Marketing,finance officer,Porac,Williealexander@Example.Com,9891468975,5
740238,ANGELA JACKSON,Political Science,R&D,MARKETING ASSOCIATE,Main,jOhNcastRO@exAmple.NEt,9173480745,4
433164,SANDRA GONZALEZ,Education,Marketing,SOFTWARE ENGINEER,Main,jEReMY28@ExamPLE.cOm,9265359792,5
336882,NICOLE WONG,Accountancy,Operations,HR SPECIALIST,Candaba,williamschristy@example.net,9771349302,5
320419,DeBrA nORRIs,Business Administration,R&D,hr specialist,San Fernando,Bruce16@Example.Net,9915653267,5
242992,Robert Wood,Education,R&D,Teacher  ,San Fernando,julIewU@EXaMPlE.coM,9453274481,2
801789,cindy stuart,Accountancy,Marketing,product manager,Santo Tomas, russellcody@example.org ,9776970826,3
411309, Charles Luna ,Human Resource Management,Marketing,ProJeCt mAnAgEr,Main,Williamskeith@Example.Com,9972468604,2
532002,lori brown,Business Administration,Marketing,FINANCE OFFICER,Mexico,WHITEJOSHUA@EXAMPLE.ORG,9389048956,4
277757,Matthew Smith,Psychology,R&D,PRODUCT MANAGER,Santo Tomas,Geoffreygreen@Example.Org,9611855250,5
737351,dR. mICheLlE GREene,Human Resource Management,Tech,FInANCE OFFiCer,Porac,michaelramirez@example.net  ,9346585086,4
251106,CALEB WHITE,Political Science,Operations,Product Manager,San Fernando,MOONEYANTHONY@EXAMPLE.ORG,9233235899,1
982831,anthony torres,Communications,Finance,Project Manager,Main,youngjoseph@example.com,9341742994,2
757122,Maria Anderson,Human Resource Management,R&D,pROduct MaNaGeR,San Fernando, richardpena@example.com ,9710687158,5
